image_id,has_liquid,liquid_level,liquid_level_en,pose,scene,source
coco_IMG_20250401_150634_jpg.rf.4wrRW10iXbIt6JRqz2Tr.jpg,1,中等,medium,unknown,coco,coco:coco:IMG_20250401_150634_jpg.rf.4wrRW10iXbIt6JRqz2Tr.jpg
coco_IMG_20250401_152607_jpg.rf.3ldykeU9Lqj3xfU8yJOG.jpg,1,少量,small,unknown,coco,coco:coco:IMG_20250401_152607_jpg.rf.3ldykeU9Lqj3xfU8yJOG.jpg
coco_IMG_20250401_152439_jpg.rf.58oC5GMn6ty993kDsX5Q.jpg,1,中等,medium,unknown,coco,coco:coco:IMG_20250401_152439_jpg.rf.58oC5GMn6ty993kDsX5Q.jpg
coco_IMG_20250401_150253_jpg.rf.5FfoJTiL70u7iIxu2zQa.jpg,1,少量,small,unknown,coco,coco:coco:IMG_20250401_150253_jpg.rf.5FfoJTiL70u7iIxu2zQa.jpg
coco_IMG_20250401_155417_jpg.rf.3vxnaoi9SyRaKgxcUVIb.jpg,1,中等,medium,unknown,coco,coco:coco:IMG_20250401_155417_jpg.rf.3vxnaoi9SyRaKgxcUVIb.jpg
coco_IMG_20250401_150540_jpg.rf.GEaZ6AbLBvw2rIeZ4ZmY.jpg,0,无,none,unknown,coco,coco:coco:IMG_20250401_150540_jpg.rf.GEaZ6AbLBvw2rIeZ4ZmY.jpg
coco_IMG_20250401_163702_jpg.rf.5c21qgOJ3TWgStXNZGqL.jpg,1,中等,medium,unknown,coco,coco:coco:IMG_20250401_163702_jpg.rf.5c21qgOJ3TWgStXNZGqL.jpg
coco_IMG_20250401_163852_jpg.rf.3th8FJU0rkZw5tUScf7z.jpg,1,中等,medium,unknown,coco,coco:coco:IMG_20250401_163852_jpg.rf.3th8FJU0rkZw5tUScf7z.jpg
coco_IMG_20250401_152028_jpg.rf.GhPgnfiXrtW40FuH2PLz.jpg,0,无,none,unknown,coco,coco:coco:IMG_20250401_152028_jpg.rf.GhPgnfiXrtW40FuH2PLz.jpg
coco_IMG_20250401_160559_jpg.rf.3shLUPwwHhHiKHfp8Ud7.jpg,0,无,none,unknown,coco,coco:coco:IMG_20250401_160559_jpg.rf.3shLUPwwHhHiKHfp8Ud7.jpg
coco_IMG_20250401_150136_jpg.rf.GDCkea4FsXyOUkDsILYm.jpg,1,中等,medium,unknown,coco,coco:coco:IMG_20250401_150136_jpg.rf.GDCkea4FsXyOUkDsILYm.jpg
coco_IMG_20250401_145644_jpg.rf.GoDClYL53TnuHUCscF24.jpg,1,少量,small,unknown,coco,coco:coco:IMG_20250401_145644_jpg.rf.GoDClYL53TnuHUCscF24.jpg
coco_IMG_20250401_155708_jpg.rf.WrMZP8xCALSfFcS5JH0B.jpg,1,中等,medium,unknown,coco,coco:coco:IMG_20250401_155708_jpg.rf.WrMZP8xCALSfFcS5JH0B.jpg
coco_IMG_20250401_151749_jpg.rf.WfP3tmGhwHFFHEzGJYvI.jpg,1,中等,medium,unknown,coco,coco:coco:IMG_20250401_151749_jpg.rf.WfP3tmGhwHFFHEzGJYvI.jpg
coco_IMG_20250401_150802_jpg.rf.GFjZtmly60zNQoV6Kb4k.jpg,1,中等,medium,unknown,coco,coco:coco:IMG_20250401_150802_jpg.rf.GFjZtmly60zNQoV6Kb4k.jpg
coco_IMG_20250401_150950_jpg.rf.X6XLilFMkk6zuap0bOl1.jpg,0,无,none,unknown,coco,coco:coco:IMG_20250401_150950_jpg.rf.X6XLilFMkk6zuap0bOl1.jpg
coco_IMG_20250401_150033_jpg.rf.GoF3iYVTyFB5DvEa0jcF.jpg,1,少量,small,unknown,coco,coco:coco:IMG_20250401_150033_jpg.rf.GoF3iYVTyFB5DvEa0jcF.jpg
